name,category,current_price,old_price,discount,rating,review_count,is_official_store,url
bracelet pour apple watch magnétique en acier inoxydable avec Boucle de Verrouillage Magnétique-Gris  de 42-44mm,Phones & Tablets,35.0,312.0,89.0,3.2,36.0,False,https://www.jumia.ma/bracelet-pour-apple-watch-magnetique-en-acier-inoxydable-avec-boucle-de-verrouillage-magnetique-gris-de-42-44mm-generic-mpg1489576.html
"Support pliable pour ordinateur Portable Mac et PC, en Aluminium, Support Antidérapant",Computing,44.0,304.0,86.0,4.1,39.0,False,https://www.jumia.ma/generic-support-pliable-pour-ordinateur-portable-mac-et-pc-en-aluminium-support-antiderapant-63466420.html
télécommande voix pour TCL Android 4K Smart TV,Electronics,37.0,243.0,85.0,3.4,15.0,False,https://www.jumia.ma/generic-telecommande-voix-pour-tcl-android-4k-smart-tv-42577098.html
"Télécommande universelle pour Samsung Smart TV,",Electronics,39.0,249.0,84.0,3.9,24.0,False,https://www.jumia.ma/generic-telecommande-universelle-pour-samsung-smart-tv-64221659.html
Patère du porte 12 crochets en acier inoxydable,Home & Office,26.0,148.5,82.0,4.4,63.0,False,https://www.jumia.ma/generic-patere-du-porte-12-crochets-en-acier-inoxydable-63777739.html
Jacket Homme-Automne noir,Fashion,99.0,499.0,80.0,3.6,490.0,False,https://www.jumia.ma/jacket-homme-automne-noir-generic-mpg1477469.html
Jacket Homme-Automne noir,Fashion,99.0,500.0,80.0,3.5,109.0,False,https://www.jumia.ma/generic-jacket-homme-automne-noir-38753223.html
Caméra de sécurité extérieure avec ampoule 3mp WiFi 2.4G -360°,Electronics,105.0,496.0,79.0,3.4,26.0,False,https://www.jumia.ma/generic-camera-de-securite-exterieure-avec-ampoule-3mp-wifi-2.4g-360-64188438.html
Support de Téléphone et GoPro Réglable avec ceinture de poitrine et de Tète,Electronics,83.66,399.0,79.0,3.8,13.0,False,https://www.jumia.ma/generic-support-de-telephone-et-gopro-reglable-avec-ceinture-de-poitrine-et-de-tete-55552076.html
SH Souris de jeu gamer PRO RGB Capteur Optique 1200 à 3200 DPI LED 6 boutons,Computing,46.0,224.0,79.0,4.4,53.0,False,https://www.jumia.ma/sh-souris-de-jeu-gamer-pro-rgb-capteur-optique-1200-a-3200-dpi-led-6-boutons-63259104.html
mifoy GM100 Souris de jeu gamer PRO RGB Capteur Optique 1200 à 3200 DPI LED 6 boutons,Computing,69.0,336.0,79.0,4.3,305.0,True,https://www.jumia.ma/gm100-souris-de-jeu-gamer-pro-rgb-capteur-optique-1200-a-3200-dpi-led-6-boutons-mifoy-mpg1222529.html
XIAOMI Mi Automatic Foaming Soap Dispenser,Home & Office,49.0,229.0,79.0,3.5,55.0,True,https://www.jumia.ma/xiaomi-mi-automatic-foaming-soap-dispenser-48975590.html
"Lampe de poche à lumière ultraviolette très brillante, UV Flashlight Détecteur De Scorpion",Sporting Goods,94.0,449.0,79.0,4.5,4.0,False,https://www.jumia.ma/generic-lampe-de-poche-a-lumiere-ultraviolette-tres-brillante-uv-flashlight-detecteur-de-scorpion-65591945.html
"Support pliable pour ordinateur Portable Mac et PC, en Aluminium, Support Antidérapant",Computing,40.0,185.0,78.0,4.1,441.0,False,https://www.jumia.ma/generic-support-pliable-pour-ordinateur-portable-mac-et-pc-en-aluminium-support-antiderapant-64227839.html
Jedel gaming keyboard k-590clavier blaklighit Clavier USB Gaming LED,Computing,77.0,352.0,78.0,4.1,49.0,True,https://www.jumia.ma/jedel-gaming-keyboard-k-590clavier-blaklighit-clavier-usb-gaming-led-41153626.html
"tasse Avec couvercle et paille – Verres réutilisables pour café glacé, jus, soda, boissons",Home & Office,26.0,118.5,78.0,3.9,25.0,False,https://www.jumia.ma/tasse-avec-couvercle-et-paille-verres-reutilisables-pour-cafe-glace-jus-soda-boissons-generic-mpg1513990.html
Nokia Téléphone mobile 3310 Gris double carte sim .,Phones & Tablets,175.0,750.0,77.0,4.0,1.0,False,https://www.jumia.ma/nokia-telephone-mobile-3310-gris-double-carte-sim-.-67314659.html
"Souris optique filaire USB 3D Antidérapante YR-3018 compatible avec PC, Mac, ordinateur bureau et portable",Computing,35.0,149.0,77.0,4.6,5.0,False,https://www.jumia.ma/generic-souris-optique-filaire-usb-3d-antiderapante-yr-3018-compatible-avec-pc-mac-ordinateur-bureau-et-portable-66394100.html
"Console de jeu vidéo sans fil, écran HD 4K 64Gb HDMI avec 10000 jeux + 2 Manettes",Gaming,189.0,816.0,77.0,3.6,83.0,False,https://www.jumia.ma/generic-console-de-jeu-video-sans-fil-ecran-hd-4k-64gb-hdmi-avec-10000-jeux-2-manettes-63348432.html
"Cagoule, Masque Anti Froid  pour Ski Cyclisme Neige Moto et Autres Sports",Automobile,44.9,199.0,77.0,4.0,10.0,False,https://www.jumia.ma/generic-cagoule-masque-anti-froid-pour-ski-cyclisme-neige-moto-et-autres-sports-40712974.html
Nokia  5310 Noir/Rouge double carte sim,Phones & Tablets,169.0,700.0,76.0,2.0,4.0,False,https://www.jumia.ma/nokia-5310-noirrouge-double-carte-sim-67215003.html
"Télécommande Bluetooth et Commande vocale pour Xiaomi Mi Stick, Mi Box, MI TV",Electronics,69.0,283.0,76.0,3.6,14.0,False,https://www.jumia.ma/generic-telecommande-bluetooth-et-commande-vocale-pour-xiaomi-mi-stick-mi-box-mi-tv-64922783.html
Hp Pochette pour accessoires PC poches organisateur imperméable et robuste,Computing,103.0,424.0,76.0,4.9,10.0,False,https://www.jumia.ma/hp-pochette-pour-accessoires-pc-poches-organisateur-impermeable-et-robuste-64162607.html
Derma Roller Anti cellulite et vergetures 0.5mm,Health & Beauty,24.0,99.0,76.0,4.1,17.0,False,https://www.jumia.ma/derma-roller-anti-cellulite-et-vergetures-0.5mm-generic-mpg1491341.html
Produit kit fitness Bandes élastiques de résistance Résistance Majestic,Sporting Goods,72.0,299.0,76.0,3.5,30.0,False,https://www.jumia.ma/generic-produit-kit-fitness-bandes-elastiques-de-resistance-resistance-majestic-58242072.html
"Casque de Protection Bébé, Réglable, Protège-Tête, Casque Antichoc pour Enfants",Baby Products,48.0,199.0,76.0,,,False,https://www.jumia.ma/generic-casque-de-protection-bebe-reglable-protege-tete-casque-antichoc-pour-enfants-67162964.html
Puluz Studio Photo Boîte de Lumière Pliable 25 x 25cm+ 12 Couleurs de Fond,Electronics,179.0,720.0,75.0,4.2,17.0,True,https://www.jumia.ma/puluz-studio-photo-boite-de-lumiere-pliable-25-x-25cm-12-couleurs-de-fond-64158304.html
"Jmary Microphone PRO cardioïde à condensateur USB, Type-c (IOS / Android, Mac / Windows)",Electronics,299.0,1184.0,75.0,3.5,11.0,False,https://www.jumia.ma/jmary-microphone-pro-cardioide-a-condensateur-usb-type-c-ios-android-mac-windows-63036706.html
Hp S500 Souris Optique Sans Fil  2.4 GHz - 1000 DPI / USB,Computing,99.0,399.0,75.0,5.0,1.0,False,https://www.jumia.ma/hp-s500-souris-optique-sans-fil-2.4-ghz-1000-dpi-usb-66123188.html
"Machine à laver pliante portable, voyage, vêtements, chaussettes, sous-vêtements, 8L",Home & Office,199.0,799.0,75.0,3.7,15.0,False,https://www.jumia.ma/generic-machine-a-laver-pliante-portable-voyage-vetements-chaussettes-sous-vetements-8l-65238755.html
Trendyol Veste Pour Femme - Rose,Fashion,109.0,440.0,75.0,4.5,6.0,True,https://www.jumia.ma/trendyol-veste-pour-femme-rose-67155972.html
"Vélo d'Appartement, Pédale d'exercice portable, Pédale de vélo réglable avec écran, Appareil d'exercice pour bras et jambes, Cycle de bureau, Équipement de fitness, Vélo d'exercice pliable",Sporting Goods,199.0,799.0,75.0,5.0,2.0,False,https://www.jumia.ma/generic-velo-dappartement-pedale-dexercice-portable-pedale-de-velo-reglable-avec-ecran-appareil-dexercice-pour-bras-et-jambes-cycle-de-bureau-equipement-de-fitness-velo-dexercice-pliable-65849866.html
Vision Recepteur AMIGO 4 Plus + Abonnement 12 Mois,Electronics,193.0,709.0,73.0,,,True,https://www.jumia.ma/vision-recepteur-amigo-4-plus-abonnement-12-mois-67315505.html
"Bague Bluetooth Scrolling Ring – Télécommande Tactile pour TikTok, Contrôle Musique & Vidéo, Défilement de Pages – iOS / Android Compatible",Electronics,53.0,199.0,73.0,4.0,1.0,False,https://www.jumia.ma/generic-bague-bluetooth-scrolling-ring-telecommande-tactile-pour-tiktok-controle-musique-video-defilement-de-pages-ios-android-compatible-67060080.html
Caméra solaire compatible avec SIM 4G tracker de mouvement zoom 10x V380,Electronics,799.0,2999.0,73.0,4.6,7.0,False,https://www.jumia.ma/generic-camera-solaire-compatible-avec-sim-4g-tracker-de-mouvement-zoom-10x-v380-64470505.html
Western Digital Disque dur Externe 500GB - WD Elements™ - USB 3.0,Computing,199.0,750.0,73.0,4.1,155.0,False,https://www.jumia.ma/disque-dur-externe-500gb-wd-elementstm-usb-3.0-western-digital-mpg1429222.html
Tefal POELE 20CM EXPERTISE NOIR G2840253,Home & Office,79.9,299.0,73.0,,,True,https://www.jumia.ma/tefal-poele-20cm-expertise-noir-g2840253-67374715.html
"Chargeur au Lithium 36v Output 42V/ 2A Pour Vélo électrique, Trottinette",Sporting Goods,94.0,350.0,73.0,3.0,2.0,False,https://www.jumia.ma/generic-chargeur-au-lithium-36v-output-42v-2a-pour-velo-electrique-trottinette-63134567.html
"Caméra de Sécurité Sans Fil A9 – Mini Caméra 1080P HD avec Vision Nocturne, Micro Intégré, WiFi Mobile pour Surveillance Maison, Bureau ou Voiture",Electronics,99.0,349.0,72.0,1.0,1.0,False,https://www.jumia.ma/generic-camera-de-securite-sans-fil-a9-mini-camera-1080p-hd-avec-vision-nocturne-micro-integre-wifi-mobile-pour-surveillance-maison-bureau-ou-voiture-67217856.html
Vision Récepteur K3 (FHD),Electronics,125.0,449.0,72.0,,,True,https://www.jumia.ma/vision-recepteur-k3-fhd-67315504.html
"R36S Console de jeu portable rétro gaming écran IPS 3,5 pouce, plus de 1500 jeux, sortie OTG",Gaming,399.0,1450.0,72.0,3.5,12.0,False,https://www.jumia.ma/r36s-console-de-jeu-portable-retro-gaming-ecran-ips-35-pouce-plus-de-1500-jeux-sortie-otg-generic-mpg1526179.html
Vélo d'exercice à pédales - Exercice à domicile pour les bras et les jambes,Sporting Goods,165.0,599.0,72.0,4.3,156.0,False,https://www.jumia.ma/generic-velo-dexercice-a-pedales-exercice-a-domicile-pour-les-bras-et-les-jambes-65599370.html
"Vélo d'exercice réglable avec écran LCD, équipement de fitness à domicile,entraîneur de main et de jambe de vélo",Sporting Goods,169.0,599.0,72.0,4.1,100.0,False,https://www.jumia.ma/generic-velo-dexercice-reglable-avec-ecran-lcd-equipement-de-fitness-a-domicileentraineur-de-main-et-de-jambe-de-velo-66223968.html
"Deep Bass R8 Casque pliables Sans Fil Bluetooth Hifi, Stéréo, Mains Libres et Aux, suppression du bruit",Phones & Tablets,133.0,464.0,71.0,4.5,17.0,True,https://www.jumia.ma/deep-bass-r8-casque-pliables-sans-fil-bluetooth-hifi-stereo-mains-libres-et-aux-suppression-du-bruit-65245904.html
mifoy Souris Gaming USB GM100 6 Boutons RGB Capteur Optique 1200 à 3200 DPI LED - Noir,Computing,60.0,210.0,71.0,4.3,161.0,True,https://www.jumia.ma/mifoy-souris-gaming-usb-gm100-6-boutons-rgb-capteur-optique-1200-a-3200-dpi-led-noir-43381960.html
"Mini Console de jeu retro R36S 20000+, systeme de jeux vidéo, emulateur de jeu, Console de jeu portable R36S - Blanche",Gaming,435.0,1499.0,71.0,3.0,2.0,False,https://www.jumia.ma/generic-mini-console-de-jeu-retro-r36s-20000-systeme-de-jeux-video-emulateur-de-jeu-console-de-jeu-portable-r36s-blanche-65310354.html
1 paire bouchons d'oreilles souples de natation piscine Sport plage surf,Sporting Goods,28.99,99.0,71.0,3.3,120.0,False,https://www.jumia.ma/1-paire-bouchons-doreilles-souples-de-natation-piscine-sport-plage-surf-generic-mpg843761.html
"Souris Sans Fil Rechargeable Silencieuse – Ultra-Slim, DPI réglable, Ergonomique et Double Mode (Bluetooth + 2,4 GHz)",Computing,59.0,199.0,70.0,4.5,2.0,False,https://www.jumia.ma/generic-souris-sans-fil-rechargeable-silencieuse-ultra-slim-dpi-reglable-ergonomique-et-double-mode-bluetooth-24-ghz-67272694.html
"Sac à dos antivol externe pour PC, bag d'affaires, Cartable de voyages LAPTOP BAG",Computing,149.0,499.0,70.0,3.7,3.0,False,https://www.jumia.ma/generic-sac-a-dos-antivol-externe-pour-pc-bag-daffaires-cartable-de-voyages-laptop-bag-67127671.html
"Papier cuisson air-fryer 100 pièces, Forme Carrée, friteuse sans huile",Home & Office,35.0,118.5,70.0,4.2,54.0,False,https://www.jumia.ma/generic-papier-cuisson-air-fryer-100-pieces-forme-carree-friteuse-sans-huile-65252215.html
Birkenstock Arizona EVA Silver (N),Fashion,218.0,724.0,70.0,4.6,112.0,True,https://www.jumia.ma/birkenstock-arizona-eva-silver-n-66253316.html
Birkenstock Arizona Birko Flor Noir Brillant (N),Fashion,432.0,1437.0,70.0,4.5,14.0,True,https://www.jumia.ma/birkenstock-arizona-birko-flor-noir-brillant-n-67278172.html
Birkenstock Arizona Birko Flor Blue (R),Fashion,375.0,1249.0,70.0,4.7,89.0,True,https://www.jumia.ma/birkenstock-arizona-birko-flor-blue-r-66229401.html
Birkenstock Arizona Birko Flor Blanc Brillant (N),Fashion,432.0,1437.0,70.0,4.4,16.0,True,https://www.jumia.ma/birkenstock-arizona-birko-flor-blanc-brillant-n-67278170.html
Birkenstock Arizona EVA Silver (R),Fashion,218.0,724.0,70.0,4.4,110.0,True,https://www.jumia.ma/birkenstock-arizona-eva-silver-r-66229318.html
Birkenstock Barbados EVA Noir (R),Fashion,218.0,725.0,70.0,4.4,5.0,True,https://www.jumia.ma/birkenstock-barbados-eva-noir-r-67278190.html
Birkenstock Arizona Birko Flor Brevet Noir (R),Fashion,432.0,1437.0,70.0,4.3,4.0,True,https://www.jumia.ma/birkenstock-arizona-birko-flor-brevet-noir-r-67278175.html
Birkenstock Barbados EVA Navy (R),Fashion,218.0,724.0,70.0,4.5,33.0,True,https://www.jumia.ma/birkenstock-barbados-eva-navy-r-66229338.html
Birkenstock Barbados EVA Blanc (R),Fashion,218.0,725.0,70.0,3.5,2.0,True,https://www.jumia.ma/birkenstock-barbados-eva-blanc-r-67278176.html
Birkenstock Madrid EVA Noir (N),Fashion,195.0,649.0,70.0,4.2,6.0,True,https://www.jumia.ma/birkenstock-madrid-eva-noir-n-67278173.html
Birkenstock Madrid Birko Flor Metallic Black (N),Fashion,338.0,1124.0,70.0,4.5,37.0,True,https://www.jumia.ma/birkenstock-madrid-birko-flor-metallic-black-n-66229384.html
Birkenstock Madrid Birko Flor Brevet Noir (N),Fashion,394.0,1312.0,70.0,5.0,4.0,True,https://www.jumia.ma/birkenstock-madrid-birko-flor-brevet-noir-n-67278164.html
Birkenstock Madrid Birko Flor Blanc Vernis (N),Fashion,432.0,1437.0,70.0,4.7,3.0,True,https://www.jumia.ma/birkenstock-madrid-birko-flor-blanc-vernis-n-67278163.html
Birkenstock Florida SFB Birko Flor Black (R),Fashion,413.0,1374.0,70.0,4.7,14.0,True,https://www.jumia.ma/birkenstock-florida-sfb-birko-flor-black-r-66229397.html
Birkenstock Milano Birko Flor Dark Brown (R),Fashion,413.0,1374.0,70.0,4.4,11.0,True,https://www.jumia.ma/birkenstock-milano-birko-flor-dark-brown-r-66265558.html
Birkenstock Milano Birko Flor Black (R),Fashion,413.0,1374.0,70.0,3.8,11.0,True,https://www.jumia.ma/birkenstock-milano-birko-flor-black-r-66229376.html
